slot_name	range	string_serialization	regex_pattern	min	max	is_identifier	range_type
env_broad_scale	string	{termLabel} {[termID]}	^\S+.*\S+ \[ENVO:\d+\]$				type_definition
env_local_scale	string	{termLabel} {[termID]}	^\S+.*\S+ \[ENVO:\d+\]$				type_definition
env_medium	string	{termLabel} {[termID]}	^\S+.*\S+ \[ENVO:\d+\]$				type_definition
ecosystem	ecosystem_enum						enum_definition
ecosystem_category	ecosystem_category_enum						enum_definition
ecosystem_type	ecosystem_type_enum						enum_definition
ecosystem_subtype	ecosystem_subtype_enum						enum_definition
specific_ecosystem	specific_ecosystem_enum						enum_definition
analysis_type	analysis_type_enum						enum_definition
env_package	env_package_enum						enum_definition
sample_link	string	{text}:{text}					type_definition
