predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	subject_start	subject_end	subject_label	subject_source	subject_text_id	ss_sl_cosine_dist	ss_ol_cosine_dist	biome	sample_count	rank	acceptable
None	ENVO:00000887	large river biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	17	LARGE RIVER BIOME	large river biome	None	0.0	0.0	True	95	1.0	True
None	ENVO:01000024	marine benthic biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	20	MARINE BENTHIC BIOME	marine benthic biome	None	0.0	0.0	True	96	1.0	True
None	ENVO:01000022	marine salt marsh biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	23	MARINE SALT MARSH BIOME	marine salt marsh biome	None	0.0	0.0	True	24	1.0	True
None	ENVO:01001341	marine tidal flow zone	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	22	MARINE TIDAL FLOW ZONE	marine tidal flow zone	None	0.0	0.0	False	54	1.0	True
None	ENVO:01000199	mediterranean forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	26	MEDITERRANEAN FOREST BIOME	mediterranean forest biome	None	0.0	0.0	True	10	1.0	True
None	PCO:1000004	microbial community	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	19	MICROBIAL COMMUNITY	microbial community	None	0.0	0.0	False	90	1.0	True
None	ENVO:01000194	montane grassland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	23	MONTANE GRASSLAND BIOME	montane grassland biome	None	0.0	0.0	True	230	1.0	True
None	ENVO:01000216	montane shrubland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	23	MONTANE SHRUBLAND BIOME	montane shrubland biome	None	0.0	0.0	True	23	1.0	True
None	ENVO:00002116	contaminated soil	https://data.bioontology.org/ontologies/ENVO	0.6944712539879703	None	None	None	PREF	None	5	21	CONTAMINATED SOIL	oil-contaminated soil	None	0.09850212828958238	0.09850212828958238	False	13	1.0	True
None	ENVO:00000115	orchard	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	7	ORCHARD	orchard	None	0.0	0.0	False	32	1.0	True
None	ENVO:00000266	pasture	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	7	PASTURE	pasture	None	0.0	0.0	False	6	1.0	True
None	ENVO:00005774	peat soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	9	PEAT SOIL	peat soil	None	0.0	0.0	False	8	1.0	True
None	ENVO:00000044	peatland	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	8	PEATLAND	peatland	None	0.0	0.0	False	21	1.0	True
None	ENVO:00000134	permafrost	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	10	PERMAFROST	permafrost	None	0.0	0.0	False	149	1.0	True
None	ENVO:01000339	polar biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	11	POLAR BIOME	polar biome	None	0.0	0.0	True	30	1.0	True
None	ENVO:01000186	polar desert biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	18	POLAR DESERT BIOME	polar desert biome	None	0.0	0.0	True	119	1.0	True
None	ENVO:01000247	rangeland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	15	RANGELAND BIOME	rangeland biome	None	0.0	0.0	True	40	1.0	True
None	ENVO:01000017	sand	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	4	SAND	sand	None	0.0	0.0	False	81	1.0	True
None	ENVO:00002007	sediment	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	8	SEDIMENT	sediment	None	0.0	0.0	False	14	1.0	True
None	ENVO:01000176	shrubland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	15	SHRUBLAND BIOME	shrubland biome	None	0.0	0.0	True	138	1.0	True
None	ENVO:00001998	soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	4	SOIL	soil	None	0.0	0.0	False	356	1.0	True
None	ENVO:01001044	soil environment	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	16	SOIL ENVIRONMENT	soil environment	None	0.0	0.0	False	3	1.0	True
None	ENVO:01000250	subpolar coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	32	SUBPOLAR CONIFEROUS FOREST BIOME	subpolar coniferous forest biome	None	0.0	0.0	True	33	1.0	True
None	ENVO:01001804	subtropical forest	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	18	SUBTROPICAL FOREST	subtropical forest	None	0.0	0.0	False	13	1.0	True
None	ENVO:01000206	temperate	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	9	TEMPERATE	temperate	None	0.0	0.0	False	12	1.0	True
None	ENVO:01000211	temperate coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	33	TEMPERATE CONIFEROUS FOREST BIOME	temperate coniferous forest biome	None	0.0	0.0	True	37	1.0	True
None	ENVO:01000182	temperate desert biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	22	TEMPERATE DESERT BIOME	temperate desert biome	None	0.0	0.0	True	4	1.0	True
None	ENVO:01001805	temperate forest	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	16	TEMPERATE FOREST	temperate forest	None	0.0	0.0	False	211	1.0	True
None	ENVO:01001811	temperate grassland	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	19	TEMPERATE GRASSLAND	temperate grassland	None	0.0	0.0	False	197	1.0	True
None	ENVO:01000193	temperate grassland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	25	TEMPERATE GRASSLAND BIOME	temperate grassland biome	None	0.0	0.0	True	325	1.0	True
None	ENVO:01000215	temperate shrubland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	25	TEMPERATE SHRUBLAND BIOME	temperate shrubland biome	None	0.0	0.0	True	23	1.0	True
None	ENVO:01000221	temperate woodland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	24	TEMPERATE WOODLAND BIOME	temperate woodland biome	None	0.0	0.0	True	31	1.0	True
None	ENVO:00000446	terrestrial biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	17	TERRESTRIAL BIOME	terrestrial biome	None	0.0	0.0	True	484	1.0	True
None	ENVO:01000209	subtropical coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.7661582642227293	None	None	None	PREF	None	14	48	SUBTROPICAL CONIFEROUS FOREST BIOME	tropical and subtropical coniferous forest biome	None	0.1010668500490105	0.1010668500490105	True	8	1.0	True
None	ENVO:01000226	subtropical moist broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	0.7904369316896513	None	None	None	PREF	None	14	53	SUBTROPICAL MOIST BROADLEAF FOREST BIOME	tropical and subtropical moist broadleaf forest biome	None	0.08977891946025707	0.08977891946025707	True	4	1.0	True
None	ENVO:01000200	tropical broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	31	TROPICAL BROADLEAF FOREST BIOME	tropical broadleaf forest biome	None	0.0	0.0	True	4	1.0	True
None	ENVO:01000210	tropical coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	32	TROPICAL CONIFEROUS FOREST BIOME	tropical coniferous forest biome	None	0.0	0.0	True	6	1.0	True
None	ENVO:01000183	tropical desert biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	21	TROPICAL DESERT BIOME	tropical desert biome	None	0.0	0.0	True	22	1.0	True
None	ENVO:01000192	tropical grassland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	24	TROPICAL GRASSLAND BIOME	tropical grassland biome	None	0.0	0.0	True	4	1.0	True
None	ENVO:01000228	tropical moist broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	37	TROPICAL MOIST BROADLEAF FOREST BIOME	tropical moist broadleaf forest biome	None	0.0	0.0	True	123	1.0	True
None	ENVO:01000214	tropical shrubland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	24	TROPICAL SHRUBLAND BIOME	tropical shrubland biome	None	0.0	0.0	True	127	1.0	True
None	ENVO:01000180	tundra biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	12	TUNDRA BIOME	tundra biome	None	0.0	0.0	True	524	1.0	True
None	ENVO:01000249	urban biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	11	URBAN BIOME	urban biome	None	0.0	0.0	True	1107	1.0	True
None	ENVO:01000658	dense settlement	https://data.bioontology.org/ontologies/ENVO	0.5762554681140775	None	None	None	PREF	None	1	16	DENSE SETTLEMENT	dense settlement biome	None	0.16333997346592444	0.16333997346592444	False	3	2.0	True
None	ENVO:01001802	subtropical moist broadleaf forest	https://data.bioontology.org/ontologies/ENVO	0.5864419493357498	None	None	None	PREF	None	19	52	SUBTROPICAL MOIST BROADLEAF FOREST	envo:tropical and subtropical moist broadleaf forest biome	None	0.15745519006004394	0.15745519006004394	False	166	2.0	True
None	ENVO:01001807	flooded grassland	https://data.bioontology.org/ontologies/ENVO	0.5909931740731619	None	None	None	PREF	None	1	17	FLOODED GRASSLAND	flooded grassland biome	None	0.15484574527148343	0.15484574527148343	False	108	2.0	True
None	ENVO:01001336	marine tidal flow	https://data.bioontology.org/ontologies/ENVO	0.6281582798939171	None	None	None	PREF	None	1	17	MARINE TIDAL FLOW	marine tidal flow zone	None	0.1339745962155614	0.1339745962155614	False	54	2.0	True
None	ENVO:01001791	mediterranean forest	https://data.bioontology.org/ontologies/ENVO	0.6281582798939176	None	None	None	PREF	None	1	20	MEDITERRANEAN FOREST	mediterranean forest biome	None	0.13397459621556118	0.13397459621556118	False	10	2.0	True
None	ENVO:01001808	montane grassland	https://data.bioontology.org/ontologies/ENVO	0.5909931740731619	None	None	None	PREF	None	1	17	MONTANE GRASSLAND	montane grassland biome	None	0.15484574527148343	0.15484574527148343	False	230	2.0	True
None	ENVO:01000176	shrubland biome	https://data.bioontology.org/ontologies/ENVO	0.5491045874037033	None	None	None	PREF	None	9	23	SHRUBLAND BIOME	montane shrubland biome	None	0.2132042075305568	0.2132042075305568	True	23	2.0	True
None	ENVO:01000179	desert biome	https://data.bioontology.org/ontologies/ENVO	0.5557123156371633	None	None	None	PREF	None	7	18	DESERT BIOME	polar desert biome	None	0.20943058495790523	0.20943058495790523	True	119	2.0	True
None	ENVO:01000196	coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.6402838534600861	None	None	None	PREF	None	10	32	CONIFEROUS FOREST BIOME	subpolar coniferous forest biome	None	0.16333997346592444	0.16333997346592444	True	33	2.0	True
None	ENVO:01000196	coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.6145709121826864	None	None	None	PREF	None	11	33	CONIFEROUS FOREST BIOME	temperate coniferous forest biome	None	0.17694510824689835	0.17694510824689835	True	37	2.0	True
None	ENVO:01001811	temperate grassland	https://data.bioontology.org/ontologies/ENVO	0.6167992914415533	None	None	None	PREF	None	1	19	TEMPERATE GRASSLAND	temperate grassland biome	None	0.1402730463789047	0.1402730463789047	False	325	2.0	True
None	ENVO:01001802	subtropical moist broadleaf forest	https://data.bioontology.org/ontologies/ENVO	0.6400343973948102	None	None	None	PREF	None	14	47	SUBTROPICAL MOIST BROADLEAF FOREST	tropical and subtropical moist broadleaf forest biome	None	0.12746205597228277	0.12746205597228277	False	4	2.0	True
None	ENVO:01001792	tropical broadleaf forest	https://data.bioontology.org/ontologies/ENVO	0.6736042321239042	None	None	None	PREF	None	1	25	TROPICAL BROADLEAF FOREST	tropical broadleaf forest biome	None	0.10943644343827863	0.10943644343827863	False	4	2.0	True
None	ENVO:01000196	coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.6402838534600861	None	None	None	PREF	None	10	32	CONIFEROUS FOREST BIOME	tropical coniferous forest biome	None	0.16333997346592444	0.16333997346592444	True	6	2.0	True
None	ENVO:01001806	tropical grassland	https://data.bioontology.org/ontologies/ENVO	0.6044552259631888	None	None	None	PREF	None	1	18	TROPICAL GRASSLAND	tropical grassland biome	None	0.14719713457755834	0.14719713457755834	False	4	2.0	True
None	ENVO:01001800	tropical moist broadleaf forest	https://data.bioontology.org/ontologies/ENVO	0.734206944338207	None	None	None	PREF	None	1	31	TROPICAL MOIST BROADLEAF FOREST	tropical moist broadleaf forest biome	None	0.07821339815241846	0.07821339815241846	False	123	2.0	True
None	ENVO:01000176	shrubland biome	https://data.bioontology.org/ontologies/ENVO	0.5180847863673399	None	None	None	PREF	None	10	24	SHRUBLAND BIOME	tropical shrubland biome	None	0.23129388521419258	0.23129388521419258	True	127	2.0	True
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	0.5491045874037033	None	None	None	PREF	None	9	23	GRASSLAND BIOME	flooded grassland biome	None	0.2132042075305568	0.2132042075305568	True	108	3.0	True
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	0.5491045874037033	None	None	None	PREF	None	9	23	GRASSLAND BIOME	montane grassland biome	None	0.2132042075305568	0.2132042075305568	True	230	3.0	True
None	ENVO:01000197	broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	0.6284778805902028	None	None	None	PREF	None	10	31	BROADLEAF FOREST BIOME	tropical broadleaf forest biome	None	0.16954520146260033	0.16954520146260033	True	4	3.0	True
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	0.5180847863673399	None	None	None	PREF	None	10	24	GRASSLAND BIOME	tropical grassland biome	None	0.23129388521419258	0.23129388521419258	True	4	3.0	True
None	ENVO:01000197	broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	0.55072963754676	None	None	None	PREF	None	16	37	BROADLEAF FOREST BIOME	tropical moist broadleaf forest biome	None	0.21227363855662396	0.21227363855662396	True	123	3.0	True
None	ENVO:00005801	rhizosphere	https://data.bioontology.org/ontologies/ENVO	0.29445388938809147	None	None	None	PREF	None	14	24	RHIZOSPHERE	agricultural rhizosphere	None	0.3603978509331687	0.3603978509331687	False	12	1.0	False
None	ENVO:01000340	alpine	https://data.bioontology.org/ontologies/ENVO	0.2541421163469098	None	None	None	PREF	None	1	6	ALPINE	alpine meadow	None	0.39697731084447274	0.39697731084447274	False	3	1.0	False
None	ENVO:01000340	alpine	https://data.bioontology.org/ontologies/ENVO	0.3052551445666692	None	None	None	PREF	None	1	6	ALPINE	alpine meadow and alpine scrub	None	0.3511143154769498	0.3511143154769498	False	7	1.0	False
None	ENVO:01000340	alpine	https://data.bioontology.org/ontologies/ENVO	0.3052551445666692	None	None	None	PREF	None	19	24	ALPINE	alpine meadow and alpine scrub	None	0.3511143154769498	0.3511143154769498	False	7	1.0	False
None	ENVO:00005761	meadow soil	https://data.bioontology.org/ontologies/ENVO	0.43842536066587207	None	None	None	PREF	None	8	18	MEADOW SOIL	alpine meadow soil	None	0.25	0.25	False	2	1.0	False
None	ENVO:00005742	arable soil	https://data.bioontology.org/ontologies/ENVO	0.35367441597396115	None	None	None	PREF	None	1	11	ARABLE SOIL	arable soil microcosm	None	0.3117527983883148	0.3117527983883148	False	51	1.0	False
None	ENVO:00005774	peat soil	https://data.bioontology.org/ontologies/ENVO	0.37840338686417163	None	None	None	PREF	None	8	16	PEAT SOIL	arctic peat soil	None	0.2928932188134524	0.2928932188134524	False	7	1.0	False
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	0.0	None	None	None	SYN	None	13	17	PAMPA	argentinean pampa	None	0.552786404500042	1.0	False	108	1.0	False
None	ENVO:00000260	prairie	https://data.bioontology.org/ontologies/ENVO	0.0	None	None	None	SYN	None	13	17	PAMPA	argentinean pampa	None	0.552786404500042	1.0	False	108	1.0	False
None	ENVO:01001357	desert	https://data.bioontology.org/ontologies/ENVO	0.32659863237109044	None	None	None	PREF	None	6	11	DESERT	arid desert	None	0.33333333333333337	0.33333333333333337	False	42	1.0	False
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	0.32659863237109044	None	None	None	PREF	None	6	11	STEPPE	arid steppe	None	0.33333333333333337	0.33333333333333337	False	6	1.0	False
None	ENVO:00001998	soil	https://data.bioontology.org/ontologies/ENVO	0.08671631486906035	None	None	None	PREF	None	12	15	SOIL	artificial soil	None	0.6077677297236319	0.6077677297236319	False	3	1.0	False
None	ENVO:00001998	soil	https://data.bioontology.org/ontologies/ENVO	0.08671631486906035	None	None	None	PREF	None	12	15	SOIL	ascocarpic soil	None	0.6077677297236319	0.6077677297236319	False	12	1.0	False
None	ENVO:00000291	drainage basin	https://data.bioontology.org/ontologies/ENVO	0.31819805153394654	None	None	True	SYN	None	1	5	BASIN	basin	None	0.0	0.4999999999999999	False	4	1.0	False
None	ENVO:00002277	back-arc basin	https://data.bioontology.org/ontologies/ENVO	0.31819805153394654	None	None	True	SYN	None	1	5	BASIN	basin	None	0.0	0.4999999999999999	False	4	1.0	False
None	ENVO:00002007	sediment	https://data.bioontology.org/ontologies/ENVO	0.37840338686417163	None	None	None	PREF	None	7	14	SEDIMENT	beach sediment	None	0.2928932188134524	0.2928932188134524	False	3	1.0	False
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	0.13406579202560007	None	None	None	SYN	None	7	12	FOREST	beech forest	None	0.3675444679663241	0.6186149643017631	False	64	1.0	False
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	0.22178679723751207	None	None	None	SYN	None	8	13	FOREST	boreal forest	None	0.3066247547184635	0.49825479399574546	False	149	1.0	False
None	ENVO:01000433	needleleaf forest	https://data.bioontology.org/ontologies/ENVO	0.17320508075688767	None	None	True	SYN	None	1	17	CONIFEROUS FOREST	coniferous forest	None	0.0	0.6666666666666667	False	9	1.0	False
None	ENVO:01000352	field	https://data.bioontology.org/ontologies/ENVO	0.11104374484286661	None	None	None	PREF	None	14	18	FIELD	conventional field	None	0.5669872981077806	0.5669872981077806	False	3	1.0	False
None	ENVO:01001785	land	https://data.bioontology.org/ontologies/ENVO	0.1879998288966063	None	None	None	PREF	None	6	9	LAND	crop land	None	0.4654775161751513	0.4654775161751513	False	8	1.0	False
None	ENVO:01000430	broadleaf forest	https://data.bioontology.org/ontologies/ENVO	0.45881594456495733	None	None	None	PREF	None	11	26	BROADLEAF FOREST	deciduous/broadleaf forest	None	0.23623738417402662	0.23623738417402662	False	15	1.0	False
None	ENVO:00000300	scrubland area	https://data.bioontology.org/ontologies/ENVO	0.13314593658120547	None	None	None	SYN	None	18	26	SHRUBLAND	desert and xeric shrubland	None	0.40700054667111907	0.6037030380493915	False	2	1.0	False
None	ENVO:01001357	desert	https://data.bioontology.org/ontologies/ENVO	0.32659863237109044	None	None	None	PREF	None	1	6	DESERT	desert soil	None	0.33333333333333337	0.33333333333333337	False	4	1.0	False
None	ENVO:00005802	bulk soil	https://data.bioontology.org/ontologies/ENVO	0.15227112700129702	None	None	None	PREF	None	23	31	BULK SOIL	ectomycorrhizospheric bulk soil	None	0.5086963155594825	0.5086963155594825	False	4	1.0	False
None	ENVO:00001998	soil	https://data.bioontology.org/ontologies/ENVO	0.040296372443382814	None	None	None	PREF	None	23	26	SOIL	ectomycorrhizospheric soil	None	0.7113248654051871	0.7113248654051871	False	3	1.0	False
None	ENVO:00000109	woodland area	https://data.bioontology.org/ontologies/ENVO	0.0	None	None	None	SYN	None	6	10	TAIGA	envo:taiga	None	0.38762756430420553	1.0	False	23	1.0	False
None	ENVO:01000250	subpolar coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.0	None	None	None	SYN	None	6	10	TAIGA	envo:taiga	None	0.38762756430420553	1.0	True	23	1.0	False
None	ENVO:01000176	shrubland biome	https://data.bioontology.org/ontologies/ENVO	0.25660386508744193	None	None	None	PREF	None	42	56	SHRUBLAND BIOME	envo:temperate grasslands, savannas, and shrubland biome	None	0.419629569300919	0.419629569300919	True	8	1.0	False
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	0.42144702167477366	None	None	True	SYN	None	1	6	FOREST	forest	None	0.0	0.39697731084447274	False	679	1.0	False
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	0.2541421163469098	None	None	None	PREF	None	8	13	STEPPE	forest steppe	None	0.39697731084447274	0.39697731084447274	False	9	1.0	False
None	ENVO:00002011	fresh water	https://data.bioontology.org/ontologies/ENVO	0.24390371911421502	None	None	None	SYN	None	1	10	FRESHWATER	freshwater stream	None	0.2697032566597787	0.4836022205056778	False	2	1.0	False
None	ENVO:01001206	grassland ecosystem	https://data.bioontology.org/ontologies/ENVO	0.46262526664200526	None	None	True	SYN	None	1	9	GRASSLAND	grassland	None	0.0	0.35831105208025216	False	49	1.0	False
None	PATO:0001305	increased temperature	https://data.bioontology.org/ontologies/ENVO	0.0	None	None	None	SYN	None	1	3	HOT	hot springs	None	0.6666666666666667	1.0	False	172	1.0	False
None	ENVO:01001357	desert	https://data.bioontology.org/ontologies/ENVO	0.18799982889660635	None	None	None	PREF	None	11	16	DESERT	hyperarid desert	None	0.4654775161751512	0.4654775161751512	False	42	1.0	False
None	ENVO:01000628	plant litter	https://data.bioontology.org/ontologies/ENVO	0.34436232699921493	None	None	True	SYN	None	1	11	LEAF LITTER	leaf litter	None	0.0	0.4729537233052701	False	18	1.0	False
None	ENVO:01000620	mesocosm	https://data.bioontology.org/ontologies/ENVO	0.10293970660747695	None	None	None	PREF	None	1	8	MESOCOSM	mesocosm with annual plant community	None	0.579915974791597	0.579915974791597	False	9	1.0	False
None	ENVO:00005755	field soil	https://data.bioontology.org/ontologies/ENVO	0.21661073816177628	None	None	None	PREF	None	18	27	FIELD SOIL	mezquital valley field soil	None	0.434314575050762	0.434314575050762	False	24	1.0	False
None	ENVO:01000176	shrubland biome	https://data.bioontology.org/ontologies/ENVO	0.4029450485461148	None	None	None	PREF	None	24	38	SHRUBLAND BIOME	montane grasslands and shrubland biome	None	0.30481830290689893	0.30481830290689893	True	12	1.0	False
None	ENVO:01000352	field	https://data.bioontology.org/ontologies/ENVO	0.17737941628119402	None	None	None	PREF	None	9	13	FIELD	organic field	None	0.4777670321329065	0.4777670321329065	False	3	1.0	False
