predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	subject_start	subject_end	subject_label	subject_source	subject_text_id	ss_sl_cosine_dist	ss_ol_cosine_dist	biome	sample_count	rank	acceptable
None	ENVO:00002259	agricultural soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	17	AGRICULTURAL SOIL	agricultural soil	None	0.0	0.0	False	20	1.0	True
None	ENVO:01000313	anthropogenic environment	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	25	ANTHROPOGENIC ENVIRONMENT	anthropogenic environment	None	0.0	0.0	False	5	1.0	True
None	ENVO:01000219	anthropogenic terrestrial biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	31	ANTHROPOGENIC TERRESTRIAL BIOME	anthropogenic terrestrial biome	None	0.0	0.0	True	35	1.0	True
None	ENVO:00002030	aquatic biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	13	AQUATIC BIOME	aquatic biome	None	0.0	0.0	True	25	1.0	True
None	NCBITaxon:2	Bacteria	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	8	BACTERIA	bacteria	None	0.0	0.0	False	58	1.0	True
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	5	BIOME	biome	None	0.0	0.0	True	3	1.0	True
None	ENVO:00005802	bulk soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	9	BULK SOIL	bulk soil	None	0.0	0.0	False	25	1.0	True
None	ENVO:01000196	coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	23	CONIFEROUS FOREST BIOME	coniferous forest biome	None	0.0	0.0	True	120	1.0	True
None	ENVO:01000245	cropland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	14	CROPLAND BIOME	cropland biome	None	0.0	0.0	True	1550	1.0	True
None	ENVO:01000248	dense settlement biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	22	DENSE SETTLEMENT BIOME	dense settlement biome	None	0.0	0.0	True	3	1.0	True
None	ENVO:01001357	desert	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	6	DESERT	desert	None	0.0	0.0	False	157	1.0	True
None	ENVO:01000179	desert biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	12	DESERT BIOME	desert biome	None	0.0	0.0	True	156	1.0	True
None	ENVO:01000245	cropland biome	https://data.bioontology.org/ontologies/ENVO	0.6470165741822272	None	None	None	PREF	None	6	19	CROPLAND BIOME	envo:cropland biome	None	0.15983194958319402	0.15983194958319402	True	4856	1.0	True
None	ENVO:01000209	subtropical coniferous forest biome	https://data.bioontology.org/ontologies/ENVO	0.6932116577969264	None	None	None	PREF	None	19	53	SUBTROPICAL CONIFEROUS FOREST BIOME	envo:tropical and subtropical coniferous forest biome	None	0.13633296582493892	0.13633296582493892	True	17	1.0	True
None	ENVO:01000226	subtropical moist broadleaf forest biome	https://data.bioontology.org/ontologies/ENVO	0.7242507229827939	None	None	None	PREF	None	19	58	SUBTROPICAL MOIST BROADLEAF FOREST BIOME	envo:tropical and subtropical moist broadleaf forest biome	None	0.12106739591563531	0.12106739591563531	True	166	1.0	True
None	ENVO:00000232	fen	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	3	FEN	fen	None	0.0	0.0	False	138	1.0	True
None	ENVO:01000195	flooded grassland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	23	FLOODED GRASSLAND BIOME	flooded grassland biome	None	0.0	0.0	True	108	1.0	True
None	ENVO:01000174	forest biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	12	FOREST BIOME	forest biome	None	0.0	0.0	True	275	1.0	True
None	ENVO:00002261	forest soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	11	FOREST SOIL	forest soil	None	0.0	0.0	False	175	1.0	True
None	ENVO:00000873	freshwater biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	16	FRESHWATER BIOME	freshwater biome	None	0.0	0.0	True	193	1.0	True
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	1.0	None	None	True	PREF	None	1	15	GRASSLAND BIOME	grassland biome	None	0.0	0.0	True	58	1.0	True
None	ENVO:00005750	grassland soil	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	14	GRASSLAND SOIL	grassland soil	None	0.0	0.0	False	26	1.0	True
None	ENVO:01000739	habitat	https://data.bioontology.org/ontologies/ENVO	0.9	None	None	True	PREF	None	1	7	HABITAT	habitat	None	0.0	0.0	False	3	1.0	True
